CTR,SUMLEV,COUNTY,TRACT,BG,POP_TOTAL,HU_TOTAL,pop.0to5.yrs,pop.6to11.yrs,pop.12to17.yrs,pop.18to24.yrs,pop.25to44.yrs,pop.45to54.yrs,pop.55to64.yrs,pop.65plus,pop.65to74.yrs,pop.75plus,Composite.MOS,BG.prob,Wrkld.18to24.yrs,Wrkld.25to44.yrs,Wrkld.45to54.yrs,Wrkld.55to64.yrs,Wrkld.65plus,Total.wrkld
21,150,3,702100,3,1284,505,59,146,97,72,313,281,238,122,97,25,3.081666392,0.07704166,4.738183453,5.048759756,10.18010044,13.53830313,6.49465322,40
22,150,3,702100,4,909,353,61,90,54,71,294,201,77,59,19,40,1.865749325,0.046643733,7.717382983,7.832853923,12.02746576,7.234530155,5.187767176,40
23,150,3,702100,5,668,342,25,77,39,50,215,205,57,19,12,7,1.420570846,0.035514271,7.137927035,7.523181722,16.11099372,7.03371646,2.194181059,40
24,150,3,702201,1,1902,1080,66,118,67,133,838,268,121,232,85,147,3.945468759,0.098636719,6.836251466,10.55775062,7.583462615,5.376004958,9.646530336,40
25,150,3,702201,2,1188,446,90,77,104,62,192,236,267,195,121,74,3.181486724,0.079537168,3.952087685,2.999833173,8.281580977,14.7114014,10.05509677,40
26,150,3,702201,3,1961,795,192,162,119,102,654,380,236,127,90,37,3.945583799,0.098639595,5.242686607,8.239340799,10.75235736,10.48512544,5.280489796,40
27,150,3,702201,4,2111,796,159,225,123,226,625,320,247,160,104,56,4.554306271,0.113857657,10.06354988,6.821561115,7.84438879,9.507090312,5.7634099,40
28,150,3,702201,5,1992,656,154,206,219,69,484,447,255,131,67,64,3.85368903,0.096342226,3.631093412,6.243019406,12.94977496,11.59942371,5.576688511,40
29,150,3,702202,1,4374,1736,420,459,310,350,1881,457,276,111,69,42,7.052315332,0.176307883,10.06471123,13.25815411,7.23462196,6.860412956,2.582099743,40
30,150,3,702202,2,3601,1373,361,359,379,195,1550,436,200,81,62,19,5.340422553,0.133510564,7.404981666,14.42720048,9.114696938,6.564887279,2.488233633,40
31,150,3,702202,3,2937,949,236,276,398,195,1150,379,134,211,64,147,4.928181956,0.123204549,8.024405641,11.59944196,8.585860753,4.766405239,7.023886409,40
32,150,3,702202,4,4546,1555,542,588,362,137,1847,617,231,155,111,44,6.359981657,0.158999541,4.36847346,14.43567255,10.83080323,6.366914472,3.998136282,40
33,150,3,702203,1,1430,481,94,165,96,51,407,279,177,122,76,46,2.819101738,0.070477543,3.668803268,7.176449778,11.04904695,11.00614972,7.099550289,40
34,150,3,702203,2,994,346,67,54,97,36,283,268,99,94,78,16,2.101591382,0.052539785,3.473915251,6.693667671,14.23698017,8.257713572,7.337723338,40
35,150,3,702300,1,690,243,45,119,71,16,203,103,89,38,31,7,1.166751895,0.029168797,2.781035067,8.648554228,9.855758986,13.37163123,5.343020494,40
36,150,3,702300,2,113,49,0,14,0,0,25,22,31,13,13,0,0.281642717,0.007041068,0,4.412324788,8.720783807,19.29461279,7.572278617,40
37,150,3,702300,3,1237,431,71,153,104,79,299,323,164,82,42,40,2.728633124,0.068215828,5.871471293,5.446932977,13.21565645,10.53589904,4.930040238,40
